,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
593,11041,04,05,11,13,25,03,06,58,11.60,18,4,1,3,3,0,1,4,-3,4,6,1,1,21,12,0,0,1
594,11042,06,09,18,30,32,10,12,95,19.00,25,1,4,-3,0,2,3,2,1,5,5,0,0,26,12,0,0,1
595,11043,02,08,23,33,35,05,10,101,20.20,21,3,2,1,2,1,3,2,1,4,6,0,0,33,15,0,0,2
596,11044,11,21,24,26,31,06,07,113,22.60,13,3,2,1,1,1,4,1,3,3,4,0,0,20,10,0,0,1
597,11045,13,21,22,29,31,07,11,116,23.20,16,4,1,3,2,0,4,1,3,4,4,1,1,18,8,2,2,1
598,11046,09,15,16,19,29,04,06,88,17.60,38,4,1,3,2,0,2,3,-1,3,5,1,1,20,10,0,1,0
599,11047,02,15,22,33,35,05,08,107,21.40,17,3,2,1,1,0,3,2,1,3,4,0,0,33,13,1,1,1
600,11048,13,17,25,27,28,02,03,110,22.00,30,4,1,3,3,0,3,2,1,4,6,1,1,15,8,0,0,0
601,11049,05,06,10,22,25,01,09,68,13.60,18,2,3,-1,0,2,2,3,-1,4,6,1,1,20,12,0,1,0
602,11050,04,07,29,32,33,08,10,105,21.00,25,3,2,1,1,0,3,2,1,5,4,1,1,29,22,0,0,2
603,11051,06,08,12,17,18,05,10,61,12.20,31,1,4,-3,0,2,1,4,-3,4,5,1,1,12,5,0,0,2
604,11052,13,24,31,32,33,03,09,133,26.60,13,3,2,1,0,0,4,1,3,4,5,2,1,20,11,0,0,1
605,11053,03,16,28,31,32,01,09,110,22.00,20,2,3,-1,0,1,3,2,1,5,6,1,1,29,13,0,2,2
606,11054,05,09,16,26,35,03,10,91,18.20,31,3,2,1,1,1,2,3,-1,3,6,0,0,30,10,0,1,0
607,11055,01,07,31,32,35,02,10,106,21.20,16,4,1,3,2,0,3,2,1,4,6,1,1,34,24,1,1,0
608,11056,03,05,29,30,31,08,10,98,19.60,18,4,1,3,2,0,3,2,1,5,3,2,1,28,24,0,1,2
609,11057,07,11,30,31,34,09,12,113,22.60,13,3,2,1,1,0,3,2,1,4,4,1,1,27,19,0,2,2
610,11058,01,09,27,32,33,03,06,102,20.40,22,4,1,3,2,0,3,2,1,5,6,1,1,32,18,0,0,2
611,11059,09,16,21,29,34,07,10,109,21.80,29,3,2,1,1,0,3,2,1,4,4,0,0,25,8,0,1,1
612,11060,03,25,29,32,34,09,10,123,24.60,23,3,2,1,2,1,4,1,3,5,6,0,0,31,22,1,2,0
613,11061,06,07,16,18,20,04,10,67,13.40,27,1,4,-3,0,2,2,3,-1,4,5,1,1,14,9,0,0,0
614,11062,06,10,17,20,21,03,07,74,14.80,14,2,3,-1,0,1,2,3,-1,4,4,1,1,15,7,1,2,3
615,11063,10,17,18,26,32,01,05,103,20.60,23,1,4,-3,0,2,3,2,1,5,5,1,1,22,8,0,2,1
616,11064,01,06,27,30,34,01,06,98,19.60,18,2,3,-1,0,1,3,2,1,5,6,0,0,33,21,0,0,1
617,11065,03,11,14,25,34,01,04,87,17.40,17,3,2,1,1,0,2,3,-1,4,5,0,0,31,11,1,1,0
618,11066,06,13,18,20,33,09,10,90,18.00,20,2,3,-1,0,1,3,2,1,4,5,0,0,27,13,0,0,2
619,11067,10,17,22,24,32,03,10,105,21.00,15,1,4,-3,0,2,3,2,1,4,5,0,0,22,8,0,0,2
620,11068,01,13,16,18,32,07,09,80,16.00,20,2,3,-1,1,2,2,3,-1,5,6,0,0,31,14,1,1,2
621,11069,03,05,28,29,33,04,12,98,19.60,28,4,1,3,2,0,3,2,1,4,6,1,1,30,23,0,0,1
622,11070,09,19,22,29,30,02,08,109,21.80,29,3,2,1,1,0,4,1,3,3,5,1,1,21,10,1,1,2
623,11071,27,31,33,34,35,04,06,160,32.00,20,4,1,3,2,0,5,0,5,5,3,2,1,8,4,0,0,1
624,11072,03,11,13,20,35,03,08,82,16.40,12,4,1,3,2,0,2,3,-1,4,6,0,0,32,15,1,1,1
625,11073,13,19,20,22,33,05,11,107,21.40,17,3,2,1,1,1,4,1,3,4,6,1,1,20,11,0,2,1
626,11074,07,16,23,28,31,03,06,105,21.00,25,3,2,1,0,0,3,2,1,5,6,0,0,24,9,0,0,1
627,11075,06,09,20,23,28,06,10,86,17.20,26,2,3,-1,0,0,3,2,1,5,4,0,0,22,11,0,2,1
628,11076,18,23,25,29,30,01,02,125,25.00,25,3,2,1,2,0,5,0,5,5,4,1,1,12,5,0,1,1
629,11077,05,08,19,33,34,01,12,99,19.80,29,3,2,1,1,0,3,2,1,5,5,1,1,29,14,0,0,1
630,11078,04,09,16,27,30,02,06,86,17.20,26,2,3,-1,0,0,2,3,-1,5,6,0,0,26,11,0,0,2
631,11079,01,03,23,30,31,02,10,88,17.60,8,4,1,3,2,0,3,2,1,3,6,1,1,30,20,0,1,2
632,11080,05,12,30,31,32,01,03,110,22.00,10,2,3,-1,0,1,3,2,1,4,5,2,1,27,18,0,2,3
633,11081,04,13,20,21,35,02,09,93,18.60,13,3,2,1,1,0,3,2,1,5,6,1,1,31,14,0,0,2
634,11082,07,20,25,30,32,05,09,114,22.80,14,2,3,-1,0,1,4,1,3,4,5,0,0,25,13,0,1,1
635,11083,06,08,18,20,24,04,08,76,15.20,26,0,5,-5,0,4,3,2,1,4,4,0,0,18,10,0,1,3
636,11084,14,29,31,34,35,01,12,143,28.60,23,3,2,1,1,0,4,1,3,4,6,1,1,21,15,0,0,0
637,11085,02,17,19,21,22,03,10,81,16.20,21,3,2,1,2,0,3,2,1,4,5,1,1,20,15,0,0,0
638,11086,04,05,06,09,15,01,06,39,7.80,29,3,2,1,1,0,0,5,-5,4,5,2,1,11,6,0,0,0
639,11087,06,13,20,25,34,07,09,98,19.60,18,2,3,-1,0,0,3,2,1,5,4,0,0,28,9,0,1,1
640,11088,20,21,27,29,35,03,08,132,26.40,22,4,1,3,3,0,5,0,5,5,4,1,1,15,6,0,1,2
641,11089,05,06,23,27,34,03,04,95,19.00,25,3,2,1,1,0,3,2,1,5,6,1,1,29,17,0,1,1
642,11090,02,04,29,30,34,05,08,99,19.80,19,1,4,-3,0,2,3,2,1,4,6,1,1,32,25,1,1,1
643,11091,11,17,23,29,30,06,08,110,22.00,20,4,1,3,3,0,3,2,1,5,3,1,1,19,6,0,2,2
644,11092,10,17,19,32,33,01,12,111,22.20,21,3,2,1,1,0,3,2,1,5,6,1,1,23,13,1,1,1
645,11093,04,06,08,19,31,10,11,68,13.60,28,2,3,-1,1,2,2,3,-1,5,5,0,0,27,12,0,1,1
646,11094,11,21,22,32,34,04,08,120,24.00,10,2,3,-1,1,2,4,1,3,3,4,1,1,23,10,0,0,1
647,11095,09,12,17,19,29,06,11,86,17.20,36,4,1,3,2,0,2,3,-1,3,5,0,0,20,10,0,0,1
648,11096,03,08,20,24,25,01,02,80,16.00,20,2,3,-1,0,2,3,2,1,5,4,1,1,22,12,0,0,2
649,11097,04,19,28,31,33,11,12,115,23.00,25,3,2,1,1,0,4,1,3,5,6,0,0,29,15,0,0,2
650,11098,06,07,28,33,35,01,10,109,21.80,29,3,2,1,1,0,3,2,1,5,6,1,1,29,21,1,2,0
651,11099,02,06,09,12,20,05,08,49,9.80,19,1,4,-3,0,2,1,4,-3,4,5,0,0,18,8,0,1,1
652,11100,08,11,13,28,33,08,09,93,18.60,23,3,2,1,1,0,2,3,-1,3,4,0,0,25,15,0,0,3
653,11101,05,12,20,28,30,03,07,95,19.00,15,1,4,-3,0,3,3,2,1,4,5,0,0,25,8,1,1,1
654,11102,19,24,28,31,34,04,12,136,27.20,26,2,3,-1,0,1,5,0,5,4,5,0,0,15,5,0,1,2
655,11103,03,04,26,29,34,01,03,96,19.20,26,2,3,-1,0,1,3,2,1,4,6,1,1,31,22,1,1,1
656,11104,07,19,27,28,34,02,05,115,23.00,35,3,2,1,2,1,4,1,3,4,6,1,1,27,12,1,1,2
657,11105,02,11,26,32,33,05,12,104,20.80,14,2,3,-1,0,1,3,2,1,4,6,1,1,31,15,0,0,2
658,11106,01,09,29,30,35,05,09,104,20.80,24,4,1,3,2,0,3,2,1,4,6,1,1,34,20,0,0,1
659,11107,02,06,18,30,32,01,08,88,17.60,18,0,5,-5,0,4,3,2,1,4,5,0,0,30,12,1,1,2
660,11108,07,15,18,24,28,01,07,92,18.40,32,2,3,-1,1,2,3,2,1,4,6,0,0,21,8,1,1,1
661,11109,01,11,12,22,34,08,10,80,16.00,10,2,3,-1,1,2,2,3,-1,3,4,1,1,33,12,0,0,0
662,11110,30,31,33,34,35,04,07,163,32.60,13,3,2,1,1,0,5,0,5,5,1,3,2,5,2,0,1,2
663,11111,02,11,13,23,31,11,12,80,16.00,10,4,1,3,3,0,2,3,-1,3,6,0,0,29,10,0,1,1
664,11112,06,17,28,32,33,08,12,116,23.20,26,2,3,-1,0,1,3,2,1,5,5,1,1,27,11,0,0,1
665,11113,04,05,07,10,12,04,05,38,7.60,18,2,3,-1,1,1,0,5,-5,5,3,1,1,8,3,0,0,2
666,11114,06,08,17,27,35,02,11,93,18.60,33,3,2,1,2,1,2,3,-1,4,6,0,0,29,10,0,0,2
667,11115,17,26,30,31,35,06,11,139,27.80,19,3,2,1,1,1,4,1,3,5,3,1,1,18,9,1,2,1
668,11116,10,15,18,19,26,07,12,88,17.60,28,2,3,-1,0,0,3,2,1,5,5,1,1,16,7,0,1,1
669,11117,10,12,28,32,33,03,05,115,23.00,15,1,4,-3,0,3,3,2,1,4,6,1,1,23,16,1,1,0
670,11118,04,07,11,32,35,05,07,89,17.80,19,3,2,1,1,0,2,3,-1,5,4,0,0,31,21,1,1,2
671,11119,04,15,20,26,31,06,12,96,19.20,16,2,3,-1,0,1,3,2,1,5,2,0,0,27,11,1,1,1
672,11120,20,25,26,30,31,09,10,132,26.40,12,2,3,-1,0,1,5,0,5,4,2,2,2,11,5,1,3,2
673,11121,02,03,30,31,33,03,09,99,19.80,9,3,2,1,1,0,3,2,1,4,4,2,2,31,27,0,2,2
674,11122,03,08,23,24,34,05,12,92,18.40,22,2,3,-1,0,1,3,2,1,3,6,1,1,31,15,0,1,2
675,11123,10,14,18,19,35,01,06,96,19.20,26,2,3,-1,1,2,3,2,1,5,5,1,1,25,16,0,0,1
676,11124,08,12,14,20,25,06,08,79,15.80,19,1,4,-3,0,3,2,3,-1,5,5,0,0,17,6,0,1,1
677,11125,07,10,27,34,35,10,12,113,22.60,23,3,2,1,0,0,3,2,1,4,6,1,1,28,17,0,0,1
678,11126,07,17,29,30,33,10,12,116,23.20,26,4,1,3,2,0,3,2,1,4,6,1,1,26,12,1,1,1
679,11127,01,11,22,26,29,05,08,89,17.80,19,3,2,1,1,1,3,2,1,4,6,0,0,28,11,0,1,1
680,11128,03,04,06,11,13,01,02,37,7.40,17,3,2,1,1,1,0,5,-5,4,4,1,1,10,5,0,1,0
681,11129,01,07,13,18,23,04,08,62,12.40,22,4,1,3,2,0,2,3,-1,4,4,0,0,22,6,0,1,1
682,11130,08,09,13,23,35,11,12,88,17.60,28,4,1,3,3,0,2,3,-1,4,6,1,1,27,12,1,2,1
683,11131,03,05,12,18,33,07,11,71,14.20,21,3,2,1,1,1,2,3,-1,4,5,0,0,30,15,0,0,1
684,11132,12,14,16,19,33,02,09,94,18.80,24,2,3,-1,1,2,2,3,-1,5,5,0,0,21,14,1,2,1
685,11133,04,11,23,26,35,03,12,99,19.80,19,3,2,1,1,0,3,2,1,5,5,0,0,31,12,0,0,1
686,11134,01,10,12,14,17,09,10,54,10.80,14,2,3,-1,0,2,0,5,-5,5,5,0,0,16,9,0,0,2
687,11135,06,22,29,33,35,03,12,125,25.00,25,3,2,1,2,1,4,1,3,5,6,0,0,29,16,0,0,0
688,11136,08,09,11,19,33,03,12,80,16.00,30,4,1,3,3,0,2,3,-1,4,6,1,1,25,14,0,1,0
689,11137,02,15,18,23,31,01,02,89,17.80,19,3,2,1,1,0,3,2,1,5,3,0,0,29,13,0,0,1
690,11138,17,23,26,30,32,06,12,128,25.60,18,2,3,-1,1,2,4,1,3,5,4,0,0,15,6,0,1,3
691,11139,04,06,10,15,16,03,04,51,10.20,21,1,4,-3,0,2,0,5,-5,4,5,1,1,12,5,0,0,1
692,11140,01,12,32,33,34,09,11,112,22.40,12,2,3,-1,0,1,3,2,1,4,5,2,1,33,20,0,0,0
693,11141,02,11,19,22,35,10,12,89,17.80,19,3,2,1,1,0,3,2,1,4,6,0,0,33,13,0,0,3
694,11142,04,26,30,33,34,04,06,127,25.40,17,1,4,-3,0,2,4,1,3,4,5,1,1,30,22,0,0,1
695,11143,08,09,12,25,33,07,10,87,17.40,27,3,2,1,1,0,2,3,-1,5,6,1,1,25,13,0,1,2
696,11144,07,18,24,28,33,02,03,110,22.00,30,2,3,-1,0,2,4,1,3,4,6,0,0,26,11,1,1,2
697,11145,07,15,19,24,29,04,06,94,18.80,34,4,1,3,2,0,3,2,1,4,5,0,0,22,8,1,2,2
698,11146,09,13,19,29,34,02,11,104,20.80,34,4,1,3,3,0,3,2,1,3,5,0,0,25,10,1,2,0
699,11147,01,15,16,27,28,02,07,87,17.40,27,3,2,1,1,0,2,3,-1,5,4,2,2,27,14,0,0,1
700,11148,07,10,11,26,31,03,04,85,17.00,15,3,2,1,0,0,2,3,-1,4,6,1,1,24,15,0,0,1
701,11149,02,07,12,29,31,03,05,81,16.20,21,3,2,1,1,0,2,3,-1,4,5,0,0,29,17,1,2,1
702,11150,13,22,30,33,34,06,12,132,26.40,12,2,3,-1,0,1,4,1,3,4,6,1,1,21,9,0,0,2
703,11151,07,11,14,20,27,03,10,79,15.80,19,3,2,1,1,1,2,3,-1,4,4,0,0,20,7,0,0,1
704,11152,01,04,06,21,35,02,11,67,13.40,17,3,2,1,1,1,2,3,-1,4,6,0,0,34,15,0,0,2
705,11153,06,22,29,30,35,03,05,122,24.40,22,2,3,-1,0,1,4,1,3,5,6,1,1,29,16,1,2,1
706,11154,04,12,16,20,28,08,11,80,16.00,20,0,5,-5,0,4,2,3,-1,5,1,0,0,24,8,0,0,1
707,12001,07,27,28,32,33,01,12,127,25.40,27,3,2,1,1,1,4,1,3,4,4,2,2,26,20,0,1,1
708,12002,03,11,14,26,29,07,08,83,16.60,23,3,2,1,1,1,2,3,-1,5,4,0,0,26,12,0,0,2
709,12003,16,22,24,33,34,03,10,129,25.80,19,1,4,-3,0,2,4,1,3,4,6,1,1,18,9,0,0,0
710,12004,10,11,22,31,32,06,07,106,21.20,6,2,3,-1,0,0,3,2,1,3,4,2,2,22,11,0,1,1
711,12005,01,02,29,31,33,07,12,96,19.20,16,4,1,3,2,0,3,2,1,4,5,1,1,32,27,1,1,2
712,12006,03,20,22,25,27,01,09,97,19.40,17,3,2,1,1,1,4,1,3,5,4,0,0,24,17,0,0,1
713,12007,04,05,13,17,25,07,10,64,12.80,24,4,1,3,3,0,1,4,-3,4,4,1,1,21,8,0,1,1
714,12008,06,08,30,31,32,01,11,107,21.40,17,1,4,-3,0,2,3,2,1,5,3,2,1,26,22,0,0,1
715,12009,06,14,20,29,35,09,10,104,20.80,24,2,3,-1,1,2,3,2,1,5,4,0,0,29,9,1,1,1
716,12010,25,26,29,32,34,05,07,146,29.20,26,2,3,-1,0,1,5,0,5,5,5,1,1,9,3,0,1,1
717,12011,05,19,22,29,30,02,04,105,21.00,25,3,2,1,1,0,4,1,3,4,6,1,1,25,14,0,1,1
718,12012,06,18,22,30,35,02,07,111,22.20,21,1,4,-3,0,3,4,1,3,5,5,0,0,29,12,1,2,3
719,12013,07,08,11,12,24,01,02,62,12.40,22,2,3,-1,0,1,1,4,-3,5,4,2,2,17,12,0,0,1
720,12014,10,14,24,30,32,01,12,110,22.00,10,0,5,-5,0,4,3,2,1,3,6,0,0,22,10,0,1,1
721,12015,12,13,24,26,33,06,08,108,21.60,18,2,3,-1,0,1,3,2,1,4,6,1,1,21,11,1,1,2
722,12016,05,14,20,29,31,08,12,99,19.80,19,3,2,1,1,1,3,2,1,5,4,0,0,26,9,0,0,1
723,12017,06,11,22,29,34,03,12,102,20.40,22,2,3,-1,0,0,3,2,1,5,4,0,0,28,11,1,1,1
724,12018,03,10,14,29,31,04,08,87,17.40,17,3,2,1,1,1,2,3,-1,5,6,0,0,28,15,1,1,1
725,12019,07,09,17,30,34,01,12,97,19.40,27,3,2,1,2,1,2,3,-1,4,6,0,0,27,13,0,0,2
726,12020,12,14,27,29,34,03,06,116,23.20,26,2,3,-1,1,1,3,2,1,4,4,0,0,22,13,1,1,1
727,12021,10,15,21,31,34,07,08,111,22.20,11,3,2,1,2,0,3,2,1,4,6,0,0,24,10,1,1,1
728,12022,07,12,20,33,35,01,10,107,21.40,17,3,2,1,1,1,3,2,1,5,5,0,0,28,13,0,0,3
729,12023,07,09,17,29,35,09,10,97,19.40,37,5,0,5,4,0,2,3,-1,3,6,0,0,28,12,2,2,0
730,12024,03,11,17,21,30,03,07,82,16.40,12,4,1,3,3,0,2,3,-1,4,6,0,0,27,9,1,1,1
731,12025,01,02,05,12,27,04,07,47,9.40,17,3,2,1,0,0,1,4,-3,4,6,1,1,26,15,0,0,2
732,12026,10,11,22,23,29,02,09,95,19.00,15,3,2,1,1,0,3,2,1,5,4,2,2,19,11,0,0,1
733,12027,03,10,11,22,31,05,07,77,15.40,7,3,2,1,0,0,2,3,-1,4,6,1,1,28,11,0,3,3
734,12028,10,12,15,33,34,03,10,104,20.80,14,2,3,-1,1,1,2,3,-1,5,6,1,1,24,18,0,1,2
735,12029,04,07,08,18,29,07,10,66,13.20,36,2,3,-1,0,1,2,3,-1,4,5,1,1,25,11,0,0,0
736,12030,03,21,22,26,32,01,03,104,20.80,14,2,3,-1,1,2,4,1,3,4,6,1,1,29,18,0,0,1
737,12031,19,21,23,25,30,03,08,118,23.60,18,4,1,3,3,0,5,0,5,5,3,0,0,11,5,1,1,3
738,12032,07,08,16,26,34,07,11,91,18.20,31,1,4,-3,0,3,2,3,-1,4,4,1,1,27,10,0,0,1
739,12033,08,13,19,27,32,01,08,99,19.80,29,3,2,1,2,0,3,2,1,5,4,0,0,24,8,0,1,2
740,12034,01,08,15,16,29,08,09,69,13.80,29,3,2,1,0,0,1,4,-3,5,4,1,1,28,13,0,1,0
741,12035,01,04,30,32,35,08,12,102,20.40,12,2,3,-1,0,2,3,2,1,5,4,0,0,34,26,1,1,1
742,12036,01,09,20,30,31,08,12,91,18.20,11,3,2,1,1,1,3,2,1,3,5,1,1,30,11,1,2,1
743,12037,09,13,27,31,35,03,10,115,23.00,25,5,0,5,4,0,3,2,1,5,2,0,0,26,14,0,2,1
744,12038,11,23,25,31,35,01,03,125,25.00,15,5,0,5,4,0,4,1,3,3,5,0,0,24,12,2,2,0
745,12039,15,21,22,24,35,01,05,117,23.40,17,3,2,1,1,1,4,1,3,4,6,1,1,20,11,1,1,2
746,12040,02,13,23,28,29,01,05,95,19.00,25,3,2,1,1,0,3,2,1,4,6,1,1,27,11,0,0,1
747,12041,01,02,13,22,23,02,10,61,12.20,11,3,2,1,0,0,2,3,-1,3,4,2,2,22,11,0,3,2
748,12042,07,24,27,28,35,07,12,121,24.20,31,3,2,1,0,0,4,1,3,4,6,1,1,28,17,0,0,1
749,12043,01,06,25,31,34,03,09,97,19.40,17,3,2,1,1,0,3,2,1,4,6,0,0,33,19,0,0,3
750,12044,03,04,14,32,35,01,02,88,17.60,18,2,3,-1,0,2,2,3,-1,4,6,1,1,32,18,0,0,2
751,12045,05,11,17,20,28,11,12,81,16.20,21,3,2,1,2,1,2,3,-1,5,5,0,0,23,8,0,0,1
752,12046,04,08,19,23,27,04,11,81,16.20,31,3,2,1,2,1,3,2,1,5,2,0,0,23,11,0,0,3
753,12047,05,07,17,30,34,03,10,93,18.60,23,3,2,1,2,1,2,3,-1,4,6,0,0,29,13,0,0,2
754,12048,06,09,26,30,35,05,06,106,21.20,26,2,3,-1,0,1,3,2,1,4,6,0,0,29,17,1,1,2
755,12049,09,18,22,27,31,10,12,107,21.40,27,3,2,1,1,1,4,1,3,5,2,0,0,22,9,0,1,2
756,12050,13,17,22,28,29,01,10,109,21.80,29,3,2,1,1,1,3,2,1,5,6,1,1,16,6,1,1,2
757,12051,01,02,17,18,33,05,12,71,14.20,21,3,2,1,0,0,2,3,-1,5,2,2,2,32,15,0,1,1
758,12052,10,20,26,31,33,10,12,120,24.00,10,2,3,-1,1,2,4,1,3,4,6,0,0,23,10,1,1,0
759,12053,11,12,26,28,31,07,12,108,21.60,18,2,3,-1,0,2,3,2,1,4,6,1,1,20,14,1,2,1
760,12054,01,16,18,27,30,10,11,92,18.40,22,2,3,-1,0,1,3,2,1,5,6,0,0,29,15,0,0,2
761,12055,07,22,26,32,33,01,08,120,24.00,20,2,3,-1,0,2,4,1,3,4,6,1,1,26,15,0,0,1
762,12056,11,21,23,26,34,07,09,115,23.00,15,3,2,1,2,1,4,1,3,4,6,0,0,23,10,0,1,3
763,12057,01,02,14,33,34,03,05,84,16.80,14,2,3,-1,0,1,2,3,-1,4,4,2,2,33,19,1,1,1
764,12058,13,21,29,31,35,04,12,129,25.80,19,5,0,5,4,0,4,1,3,4,5,0,0,22,8,0,0,2
765,12059,09,13,19,21,27,03,04,89,17.80,29,5,0,5,4,0,3,2,1,4,4,0,0,18,6,0,2,0
766,12060,02,16,21,24,30,06,10,93,18.60,13,1,4,-3,0,2,3,2,1,5,5,0,0,28,14,0,1,0
767,12061,05,10,14,27,33,07,09,89,17.80,19,3,2,1,1,1,2,3,-1,5,6,0,0,28,13,0,0,0
768,12062,21,32,33,34,35,08,09,155,31.00,15,3,2,1,0,0,5,0,5,5,3,3,1,14,11,0,1,2
769,12063,11,25,26,29,35,01,02,126,25.20,26,4,1,3,2,0,4,1,3,4,6,1,1,24,14,1,1,1
770,12064,09,12,13,15,30,09,10,79,15.80,19,3,2,1,1,0,1,4,-3,5,5,1,1,21,15,0,0,2
771,12065,10,22,28,29,34,05,11,123,24.60,23,1,4,-3,0,2,4,1,3,5,4,1,1,24,12,0,0,2
772,12066,01,20,25,29,33,04,06,108,21.60,18,4,1,3,2,0,4,1,3,5,5,0,0,32,19,1,1,2
773,12067,20,22,27,30,33,01,02,132,26.40,12,2,3,-1,0,1,5,0,5,4,5,0,0,13,5,1,2,1
774,12068,01,21,31,32,35,03,06,120,24.00,10,4,1,3,2,0,4,1,3,3,6,1,1,34,20,0,0,3
775,12069,02,04,22,25,34,02,11,87,17.40,17,1,4,-3,0,2,3,2,1,3,6,0,0,32,18,0,0,3
776,12070,09,22,23,32,34,06,08,120,24.00,20,2,3,-1,0,1,4,1,3,4,6,1,1,25,13,1,2,1
777,12071,13,23,29,31,34,06,08,130,26.00,20,4,1,3,3,0,4,1,3,4,6,0,0,21,10,1,2,2
778,12072,04,08,17,22,25,04,10,76,15.20,26,2,3,-1,0,1,2,3,-1,5,6,0,0,21,9,0,0,1
779,12073,18,23,29,33,34,02,07,137,27.40,27,3,2,1,2,0,5,0,5,4,4,1,1,16,6,0,0,2
780,12074,10,22,23,30,32,01,07,117,23.40,7,1,4,-3,0,2,4,1,3,3,6,1,1,22,12,0,1,3
781,12075,07,09,10,18,22,05,10,66,13.20,26,2,3,-1,1,2,2,3,-1,5,6,1,1,15,8,0,2,2
782,12076,02,14,16,22,24,02,05,78,15.60,18,0,5,-5,0,4,2,3,-1,3,4,0,0,22,12,0,1,0
783,12077,10,30,32,33,34,02,03,139,27.80,9,1,4,-3,0,2,4,1,3,4,4,2,1,24,20,0,0,0
784,12078,01,02,23,25,35,05,12,86,17.20,16,4,1,3,2,0,3,2,1,4,6,1,1,34,21,0,0,1
785,12079,01,05,25,32,33,01,10,96,19.20,16,4,1,3,2,0,3,2,1,4,6,1,1,32,20,1,2,1
786,12080,11,12,14,25,28,02,05,90,18.00,20,2,3,-1,0,1,2,3,-1,5,4,1,1,17,11,0,1,0
787,12081,10,16,17,30,35,01,08,108,21.60,18,2,3,-1,0,1,2,3,-1,4,6,1,1,25,13,0,0,1
788,12082,02,04,09,10,15,08,10,40,8.00,20,2,3,-1,0,1,0,5,-5,5,4,1,1,13,5,0,1,2
789,12083,16,19,28,29,31,05,08,123,24.60,33,3,2,1,1,0,4,1,3,4,4,1,1,15,9,0,0,1
790,12084,21,24,27,29,31,01,02,132,26.40,22,4,1,3,2,0,5,0,5,4,4,0,0,10,3,2,2,2
791,12085,07,18,29,31,33,10,12,118,23.60,28,4,1,3,2,0,4,1,3,5,4,0,0,26,11,0,2,0
792,12086,03,20,25,29,32,05,10,109,21.80,19,3,2,1,1,0,4,1,3,5,6,0,0,29,17,0,1,1
793,12087,01,06,07,21,31,04,11,66,13.20,16,4,1,3,2,0,2,3,-1,3,6,1,1,30,14,0,0,2
794,12088,13,17,24,30,35,02,10,119,23.80,19,3,2,1,1,1,3,2,1,5,5,0,0,22,7,0,0,1
795,12089,06,12,21,29,32,06,11,100,20.00,20,2,3,-1,1,1,3,2,1,4,6,0,0,26,9,0,0,2
796,12090,02,21,27,29,33,02,10,112,22.40,22,4,1,3,3,0,4,1,3,5,5,0,0,31,19,1,2,1
797,12091,03,10,28,31,33,01,09,105,21.00,15,3,2,1,1,1,3,2,1,4,6,0,0,30,18,1,1,2
798,12092,08,09,23,25,31,02,12,96,19.20,26,4,1,3,3,0,3,2,1,5,6,1,1,23,14,0,1,1
799,12093,02,16,21,31,33,04,11,103,20.60,13,3,2,1,2,1,3,2,1,4,6,0,0,31,14,0,1,0
800,12094,02,14,23,32,35,01,10,106,21.20,16,2,3,-1,0,1,3,2,1,4,3,0,0,33,12,1,1,1
801,12095,06,09,22,27,30,08,12,94,18.80,24,2,3,-1,0,0,3,2,1,5,4,0,0,24,13,0,0,1
802,12096,05,10,19,24,35,08,09,93,18.60,23,3,2,1,0,0,3,2,1,4,4,0,0,30,11,0,0,2
803,12097,09,17,24,29,32,01,02,111,22.20,31,3,2,1,1,0,3,2,1,4,4,0,0,23,8,0,1,1
804,12098,02,11,28,29,30,06,12,100,20.00,20,2,3,-1,0,0,3,2,1,5,5,2,1,28,17,1,1,2
805,12099,12,18,24,25,32,02,12,111,22.20,21,1,4,-3,0,2,4,1,3,4,4,1,1,20,7,0,0,1
806,12100,07,09,13,19,27,01,03,75,15.00,35,5,0,5,4,0,2,3,-1,3,5,0,0,20,8,0,0,2
807,12101,02,05,08,09,31,03,07,55,11.00,25,3,2,1,1,0,1,4,-3,5,5,1,1,29,22,0,1,1
808,12102,02,04,06,13,35,04,08,60,12.00,20,2,3,-1,1,2,1,4,-3,5,5,0,0,33,22,1,1,2
809,12103,02,09,18,23,24,01,04,76,15.20,26,2,3,-1,0,0,3,2,1,5,6,1,1,22,9,1,1,0
810,12104,16,18,24,25,27,04,09,110,22.00,30,2,3,-1,1,2,4,1,3,5,4,1,1,11,6,0,2,2
811,12105,05,06,14,15,31,06,08,71,14.20,21,3,2,1,1,1,1,4,-3,4,4,2,2,26,16,0,0,1
812,12106,15,23,25,29,31,09,10,123,24.60,23,5,0,5,4,0,4,1,3,4,3,0,0,16,8,1,2,1
813,12107,04,07,09,22,33,01,03,75,15.00,25,3,2,1,1,0,2,3,-1,5,6,0,0,29,13,0,0,1
814,12108,06,07,12,24,35,02,06,84,16.80,24,2,3,-1,0,1,2,3,-1,5,6,1,1,29,12,1,1,1
815,12109,01,22,30,32,35,09,11,120,24.00,10,2,3,-1,0,2,4,1,3,4,6,0,0,34,21,1,1,0
816,12110,01,11,17,19,26,05,12,74,14.80,24,4,1,3,3,0,2,3,-1,4,6,0,0,25,10,1,1,0
